"RelativePath","Bytes","SHA256"
"modules\4.3_source\model\aggregation\compare_source_portfolios_4_3_v3.m","1283","763EA2343BCA7AFA10159781AEB2414E078346C39885DAC582792F47F96F3AB9"
"modules\4.3_source\model\aggregation\device_output_to_source_4_3_v3.m","4671","4C884F0F6A430DE68AA0E76FF4043F6D7DD99A5C211ADC64BC6B0006D76F93E3"
"modules\4.3_source\model\aggregation\evaluate_scenario_coverage_4_3_v3.m","1323","40C3FB0328376CEA08B80084DBAB67ADA904F10A202DBFA8DEB63D9BF2780995"
"modules\4.3_source\model\aggregation\source_aggregation_4_3_v3.m","10657","FD9DB3183C704960FE860A52D8702EA697ECC47BFEB9079499014FEA892449D2"
"modules\4.3_source\model\aggregation\source_complementarity_metrics_v3.m","2914","CB925981A829B5274B07E64854DE5C897B67DC71F5CD66AA8E5F3FBD6F061541"
"modules\4.3_source\model\aggregation\source_state_dictionary_4_3_v3.m","962","05D3DF4865711236B2098A10AE5CE92C7C5C910EDB128E4676EA35D70DDDAD0F"
"modules\4.3_source\model\aggregation\validate_joint_scenarios_4_3_v3.m","1821","3CCC2118C54540A92DE6803E500605080BCD2398499EA26D8EF6934B1F45EB69"
"modules\4.3_source\model\demo_support\bus_balance_4_4_v3.m","3189","025BE7CF6DD1D86C00557D5063CC92D96FE12C47D7D3253E790E994581A4D292"
"modules\4.3_source\model\demo_support\marine_source_hub_v3.m","1353","1C605BF21EF11662F0FAA45B38C7C46FDDE374C12D368360B1ADA55763319BE0"
"modules\4.3_source\model\pv\floating_pv_dispatch_v2.m","14858","4DC074F6A6C4CFB6DF6904EA99EC45045C7F8BC8B435AABD577A074193EA5D5C"
"modules\4.3_source\model\tidal\tidal_current_dispatch_v2.m","14997","F72FFBB6D738DA4F811A0172171664E2C56DF5D4D0AF948D1CF3F3F69D9088AC"
"modules\4.3_source\model\wind\floating_wind_dispatch_v2.m","12534","7CA61ADD6AD898DD116FDF6DE9D8298D44DB5F15CBA82E70F6146D59FC97F327"
"modules\4.3_source\README.md","2426","F3D13DE7AEBE484042A5EC0C80B6A747D93CCE7730EA6A680706F68F5DA7AE61"
"modules\4.3_source\tests\run_all_tests_4_3_v3.m","3744","EDF957C66DE083E48F8084AC1FB7DF266D3BA906C501B7C57403D7AA115A302A"
"modules\4.4_bus\docs\4.4公共母线功率平衡说明.md","1738","487F107BEC4A7BC563D4F0C2ED6886D9A54941AC57D42461ADFC98071BEE11E3"
"modules\4.4_bus\docs\assets\figure_4_4_v4_hourly_balance.png","117547","C4A45A8C141E3B8B6430A840894AF929CC5216AF7D9832CF610DD8CBBA2D425B"
"modules\4.4_bus\integration\v4_bus_ledger.m","1489","5F7F6E2B2BF3B576E8DAC7B4CB47FD3AFA7DDD4E35004FB02CDB190F73850671"
"modules\4.4_bus\README.md","1209","B7CA93E6640B5160FDDEA3D613490C18BB0D76A8703AF68C4CB24B0DD40C1E52"
"modules\4.4_bus\reference_model\core\__init__.py","664","0291B8CAD751324766BA736D06A8473ABE4D3B746052D231B06B87BAE913C03C"
"modules\4.4_bus\reference_model\core\components.py","14400","15C15EBF7DD9838E5D281F3B45A8D3C40C93264B91F0952D5AE9D8888407C3E3"
"modules\4.4_bus\reference_model\core\losses.py","2926","6E1FF5EEDEF081589A49CCF583BF4FCE9CCC778385DC6DFECE22AB58CCA23EB0"
"modules\4.4_bus\reference_model\core\ports.py","3933","56409970EB3B1A15FF62F62354C74E3F12C50F97C40B3FE52F0E9BD3BA036DEC"
"modules\4.4_bus\reference_model\core\power_balance.py","8928","367C607290E8E2D2BD23DABACC32A0A8CA3FF9058EC540BD5D5403C96E815C41"
"modules\4.4_bus\reference_model\core\reserve.py","2341","F881682622C00580B88403D38EA8ED087658381999A89CA2D282B32643E3DD6C"
"modules\4.4_bus\reference_model\main.py","2523","EFFE34CD209B8FF8DCC76D70F0B16119C267EDFBDB1ECF4A1C3F5E942E291970"
"modules\4.4_bus\reference_model\scenarios\__init__.py","204","E17A81BE7FD2C5C37B10FC7B0F8857E574EE430FABB9E7CB35FAC5BDAEF79F5B"
"modules\4.4_bus\reference_model\scenarios\base_scenarios.py","2165","496279A4C814973A216C2732E35C4F2051590F0B858188F9AE08A7092B935635"
"modules\4.4_bus\reference_model\test_plots.py","2805","374094B102DEFBD53795E75A248AEEE4D2CF107613285A2F056D4A9C47B20E7B"
"modules\4.4_bus\reference_model\visualization\__init__.py","165","F51E631F1D5266D0614D931456AF49077B5C7A2168C15E94C4DB863A632280D0"
"modules\4.4_bus\reference_model\visualization\plots.py","5606","5907BF16C4CB7EE12616972E5F452D345E621598CA4B7E638A989D6B799517D0"
"modules\4.4_bus\报告.pdf","135957","0E1C1908137D78BC6BDD5277F7D38DFCAD4D935A813A7C52DC4CD36829C5DED7"
"modules\4.5_storage_hydrogen\docs\4.5公开数据替代与接口审查.md","7920","700E783FD8EAB9DCCB11CC4CEE1985AEDFEE4D49889C96A37D13BFB3D08675A4"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_24h_results.csv","4278","C5388A0BFE18BFE05DCAF5E9CFD59E2336EB0C503665EDB7FBDC4B0FB1EFE999"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_scenario_kpi.csv","589","9CADA76D5FCB004A443FAB8DEE789003CFEE313B7094E18E221D8B938FA1FB1D"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_sensitivity_table.csv","2814","43C25BBB33902AFB7F886E01B91158C00925BF0BAAC33C80D7C4741753BC53DF"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_summary_table.csv","773","C606E1409D1DC3A31B24C5DBBCED73D1AD50B38E709BB90D9CED799DBECE15EB"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_timeseries_input_template.csv","689","96013D44072C89425081F3041F0ADF930345859425E833126254D48D9E6C625E"
"modules\4.5_storage_hydrogen\docs\assets\fig01_system_coupling.png","161432","580FE86A38A3E9AF2D1F8941A86515E0FDC39DA396D0B861DBCB274754D3BC7F"
"modules\4.5_storage_hydrogen\docs\assets\fig02_electrolyzer_envelope.png","322087","D72BFFD22AEE3DA111394CFA554EFD91C25DF89212508B47BDF5E9045DD4BC2C"
"modules\4.5_storage_hydrogen\docs\assets\fig03_24h_power_dispatch.png","202972","18935202F2EC91DAACAAAE5141C675B45F73E33FDBCDC161DE491C715D4026BF"
"modules\4.5_storage_hydrogen\docs\assets\fig04_hydrogen_inventory.png","305135","9D7F2A054802AAACF1555F0B98E92EFCA13269B5BEB3FACBEBC0EDC7FF2EB272"
"modules\4.5_storage_hydrogen\docs\assets\fig05_scenario_comparison.png","304692","90ED5772592BDE0B54E6C55F611996AF42DD85E1135082D5624B8A6F8A88821C"
"modules\4.5_storage_hydrogen\docs\assets\fig06_economic_heatmap.png","416636","38A5C0CB3395891313782C2C50C7AC104D451802E7199152B3FB173874A00A70"
"modules\4.5_storage_hydrogen\docs\电能制氢建模.md","33869","47E4A6E822D9255A229A811F0A9FFB4C6EF03DAC2804C071A9727A5A321A11DD"
"modules\4.5_storage_hydrogen\integration\v4_finalize_4_5_packet.m","1919","6391029B28BB5B34E7BC1CDA2DDA59DCCC845D6A5716D0F1F8D627514D2E8F82"
"modules\4.5_storage_hydrogen\integration\v4_storage_hydrogen_response.m","3604","27E09942D94EBD490E0555EEFD429892470A6529AB4046F7E4A5235BA4C9642D"
"modules\4.5_storage_hydrogen\README.md","1188","944EA508EACDC9EE20E15320BFEDFF97733135EF8C677F6BF634ADE73E9A8EB6"
"modules\4.5_storage_hydrogen\reference_model\blue_hub_demo_and_figures.m","25812","26A83174D229390BB3C05CE2EB2CD39541C3B99188C6D835BBAFEFA9EE9CD520"
"modules\4.5_storage_hydrogen\reference_model\电能制氢建模 修改版1.docx","1284521","841E5A2DAC83DCD0D04E9338F83D453E05398A155D31A6E7C886E3F46D0F8682"
"modules\4.5_storage_hydrogen\reference_model\电能制氢模型多表合一.xlsx","40387","242873A436540B4AA495DA4051A6830818C3B311B5786C0E4AB0FDA295F609C8"
"modules\4.6_compute\DC_model_v2_1\config\default.json","1034","ECD31A903639281E0FB8067F2D1102EFAAD780F380898E0A55516E636B8496DC"
"modules\4.6_compute\DC_model_v2_1\config\power_shortage_test.json","1045","806975681A5026742EA45FAAF90C7207A9D1CF520FE3FFBACEB1D098A795146B"
"modules\4.6_compute\DC_model_v2_1\config\raw_power_following.json","826","D1C4AA33EC9E73DD3C5BD50144DB793C6DA074ACC5ED19EA84EBE185577F29D1"
"modules\4.6_compute\DC_model_v2_1\CURRENT_UDC_DATA_CHECK.md","1547","992AC5CF3D660842FBF2A1BCE49D1A39A1FA4AB4A8B8EBF246602572BD493E9A"
"modules\4.6_compute\DC_model_v2_1\DATA_UPDATE_GUIDE.md","3476","C9E1976D5E42AA22B43085E04266468E4159C30B68549F6F1BCE7C3E0E30C1CF"
"modules\4.6_compute\DC_model_v2_1\README.md","1089","DF81479332F9394117D367AF0D06A48D7C364A6F85EAF5A3504FA3DC21A9A5D3"
"modules\4.6_compute\DC_model_v2_1\requirements.txt","67","425E872219B0C44920CB83C855C206241A5D373FA4C753B88B450CE081679232"
"modules\4.6_compute\DC_model_v2_1\run_model.bat","361","3034E906D1D2FF62A575F4C0EA0914772DF16A4876F23FF09E0F3C6860B716C8"
"modules\4.6_compute\DC_model_v2_1\run_raw_model.bat","365","6FB3AEA9FE2AE1E7122A9A99A45A3AA0FFBDAC4EAD605645034720DBF26C5F1C"
"modules\4.6_compute\DC_model_v2_1\scripts\check_data.py","1072","09B5936F42381FFACEAF4EB5763376FFD548ADBA9A680BD7B9915E125ABF7648"
"modules\4.6_compute\DC_model_v2_1\scripts\plot_results.py","12576","10B47BD88DB4F192140FCC9E4410F0D4B733883AE09218CBDC8DC4243ADB6A7F"
"modules\4.6_compute\DC_model_v2_1\scripts\run_model.py","1638","B606A3C9F9CAA06C0F3D439A9329A91C3E6C60EA41A7FEEF68012113BEEE8742"
"modules\4.6_compute\DC_model_v2_1\scripts\run_raw_model.py","1644","01A65AF1EE5DC16BB37D48309A89251E22219900A9F68785CB623FC416022FC8"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\__init__.py","79","19F7BA1E22F29BE4BCE74FF1C0401B3885748215396C38A1A10676875AF5D045"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\config.py","1478","2655C39B6B7CD2287FC1C9A0A7BBD5013500B0EAA308A73053EE3C5F22BE9844"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\data_loader.py","19656","AC3598FB57AFFFDEFB8CEC51B54BFDEB0901F3E7CFF08DCA26CA8F4AC69D13D0"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\model.py","23413","5C2E2E64C1B2B531FDA272FCE9F5B9CD7509482FF85C86E46D643943A12E1E88"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\pue.py","3288","B484C29C6D2C94682A9CAF57ADDE733D4CD8DEB86FC3C39D8776BA52908284FC"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\raw_model.py","15157","C8F20442F403586895ACFAC0D16CFA9D8053FAC9E2F409F1514C5B4B500EB825"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\reporting.py","2832","7CD8A8DDF9E2703C0C6C3E643FC2FF032C20EAF55EF808AA96F6B01506DDA0E7"
"modules\4.6_compute\DC_model_v2_1\tests\test_smoke.py","870","7B064910B6CE535827ADDB578D3DDCB1B5E11B5FBC8F5BEDB3A4E31DFD072CC5"
"modules\4.6_compute\DC_model_v2_1\UDC_data\01_Workload\green_compute_v1_168h.csv","19653","A7C4CC5CCC17470BD105A381D37BE5736C4AA7CE7F22946836D7E44B385D87D9"
"modules\4.6_compute\DC_model_v2_1\UDC_data\01_Workload\task_type_parameters.csv","184","F5DC588B109EACEF2A1AA76388AAB759C8304EC3F96D0135F3C43016692C385D"
"modules\4.6_compute\DC_model_v2_1\UDC_data\02_IT_System\it_system_parameters.csv","1019","0639201603F593EAA07E5AB0F8375D60A9441792988EBE0DBB20E65FA0B43EE8"
"modules\4.6_compute\DC_model_v2_1\UDC_data\03_Cooling_PUE\cmems_mod_glo_phy_my_0.083deg_P1D-m_1784401380657.nc","60449","6CEFDD2861FB68DAF5BB703C01D6D972D36C36A4C68AD4A4336ED0D534E0C974"
"modules\4.6_compute\DC_model_v2_1\UDC_data\03_Cooling_PUE\cooling_parameters.csv","1646","BF0C9962F6A9D448EABD08AABA18D3DA09AB4BDD5357283EA03F23F86E5D7B4C"
"modules\4.6_compute\DC_model_v2_1\UDC_data\04_Economics_Interface\compute_price.csv","820","29A6A3807261874EADD19C0F906F40C948895330B777D3C76822D9087E48A81F"
"modules\4.6_compute\DC_model_v2_1\UDC_data\04_Economics_Interface\market_reference_scenarios.csv","1067","4ACAF7DF2B804A507E6EC6F12482AE449C799288DA506FFE1553237BF0B353D3"
"modules\4.6_compute\DC_model_v2_1\UDC_data\04_Economics_Interface\power_interface.csv","754","885D192D04C8CC722E73C673A3DF773871FCFA6B23677FE20328EE683426E5DE"
"modules\4.6_compute\docs\4.6公开数据替代与市场校准清单.md","5613","82B1F21D706C3D536A3928387BD52EB0E21ACCC6D4DDCDF6E5EBCE5B461C6E3D"
"modules\4.6_compute\docs\4.6绿色算力负荷模型与V4集成说明.md","4751","08FDDB05E6D44028A40CFD158FFE8A45D1387D59AF9656D3B70D6C22E296762F"
"modules\4.6_compute\integration\README.md","791","6CBD800B41721628ADA77DF0986B992697677EE4B1D7E29B195C65C90A974766"
"modules\4.6_compute\integration\v4_compute_boundary_4_6.m","1148","3E153D0F67A2FEEECABFD43801612F9CA7DC7F8AE08ABD187830D28ECB969F38"
"modules\4.6_compute\integration\v4_compute_bridge.py","5654","33D2412D3450B0F5AA388AC11E471436A19BA3976E0534055FAA22A836B3B57B"
"modules\4.6_compute\README.md","1209","C0100B2D085DA5BE40D1ABB50B01EC82086A20B06520BB99DF7A180D2C14F9A7"
"modules\4.7_outputs\delivery_model\configs\parameters.yaml","4389","EFF72EB447EE7F9C6A27275A9AA6C426DF1DA8DEC91794D2BDAA4F8C1AA3EBDE"
"modules\4.7_outputs\delivery_model\examples\run_example.py","1765","DACF04757C08D6DD6B27C53EC2DA4C68C0AC95B7320D66353811C9578AB7B828"
"modules\4.7_outputs\delivery_model\pyproject.toml","479","2ADE356122C3EEA684A9594D008A0CA9D058B35FA25B97323CC8F61FBEDB2EAD"
"modules\4.7_outputs\delivery_model\README.md","4148","A7E4E39F1F32BA068975C38A4CA6B862C31D55F03692906F6E491956B47265FB"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\__init__.py","1531","2E672AF66020B78F446F0A6EDE391F1745788E90FDE2A2050942F7E67AF4D118"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\balance.py","5935","655BCCC76625A6CA278EC66E0A5D3B7C6AB98F1098F85612B92B7432C4538C26"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\compute_load.py","3824","84F21CB3098F6C0997FA011A609318057D8B52A7B48A2B272157AD5A549B2B91"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\constraints.py","4811","B9D9BF4D13956C8F48E89ED05D366B70F4E3C2F179AE04081186CBCE50C9EA35"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\hydrogen_output.py","6465","46F52FE352D3C820A19229AC9D5F61067985112F01F15193D08BD87226DE3EB0"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\marine_load.py","3018","20A3CE235DD069ACE23E11396D279C2021EB755A6E2B8470783D46D0F8FAD66D"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\objectives.py","3022","5DEF181C53527CF147F781EDF865C308BBA72DD590C7C1BB24A971D3137D609B"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\parameters.py","4581","CA1D75F28AF5309384838CDA1079D31FF726B4D98B810E9B781B22C887A80286"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\power_export.py","4007","BCCC111556311094E90338457EF98906E3A21BC00B75C3F7045847D60C9939A0"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\scenario.py","3248","E5931033522AC85A2E4990D175DB059C04DC16256383FDC87C7F2B4A57CF073A"
"modules\4.7_outputs\delivery_model\tests\test_compute_load.py","1685","A05592A5F97CA9F3A06DA4A28C6E50276E599F48B8579BF760CE6E2A6C3FE5CC"
"modules\4.7_outputs\delivery_model\tests\test_constraints.py","898","340A3C31181FECFC238E901C5A673734293A6B65066CB4340887939CB5EBDFC3"
"modules\4.7_outputs\delivery_model\tests\test_hydrogen_output.py","1859","273120646B10A001E40ECAEBEC051B0B882DCA41825AC9A608BF27041B4E8881"
"modules\4.7_outputs\delivery_model\tests\test_integrated_balance.py","2681","3F5B3F27703BE106A48F8572FE04C0C094E2420F6D7CB0919B1701F9C86DA52D"
"modules\4.7_outputs\delivery_model\tests\test_marine_load.py","1044","6949EBB4080DFD6919EB98682D2F7C7CB472A6A712ECB0C669B54D25E673F8F9"
"modules\4.7_outputs\delivery_model\tests\test_parameters.py","1977","CD78DB5F0069BF2D492788B32A3111B2065DA9C88988F5ADB72B98415E5B4070"
"modules\4.7_outputs\delivery_model\tests\test_power_export.py","1114","2FBC2DD61CD40DE771F2CD74A97114D64995F7DB20222C49CDE95E576F5DAD36"
"modules\4.7_outputs\delivery_model\uv.lock","15872","5A95C6DA871E400E6F428A8C32C41B849923BB98655717D78419D041F164EB47"
"modules\4.7_outputs\delivery_model\目标函数与约束条件.md","4174","12310B3E4D88BFCB69D5DBFAE7C5EE56C5A746ACD964C7C3A2274B9BDAA40998"
"modules\4.7_outputs\docs\工程使用说明.md","4204","BF763F97673F1B88A995EF9802B3ED5F493949E85154CD39A3C8E53A458CDBB4"
"modules\4.7_outputs\integration\v4_output_bridge.py","3059","2C73CAB7FD1965536315128EE986C69E92AF0D6A5169ED5E4D7CB96B84D57957"
"modules\4.7_outputs\README.md","1198","7B5F15C225434E1C227E266C627ED5F7E7F52275A61FC2C88FCBB4329AA83B73"
"modules\4.8_objectives\docs\08_4.8-4.9目标架构.md","16848","BF4EFA6A67FF65815430F4DE77C0E6F99B487C4F998B18E8CD0BB1A8BE0BA7FF"
"modules\4.8_objectives\docs\4.8多目标评价说明.md","7971","9010DC82A38B6BB890AACD882D374B859FD6DCF0402FEFBAC03726D03840514E"
"modules\4.8_objectives\model\v4_evaluate_objectives_4_8.m","8201","7FD2574FE80104605957C05877DD897B355522486AEA41DA52CF0576AA14EA6B"
"modules\4.8_objectives\model\v4_levelized_source_cost_4_8.m","2456","A51CCBB45935C59C55BDB1AE0503FA79AD394485466E266D3ACA11EFE0004071"
"modules\4.8_objectives\model\v4_objective_parameters_4_8.m","1794","8B7D2AC294A8D249A49D2C1B1118F03E409A87B82F8EB058B28EEAED2D376981"
"modules\4.8_objectives\model\v4_public_generation_cost_benchmarks_4_8.m","2384","9E8E183F00D6360DE972A90158F6B50EA5F40C78C9B8E41CCA42E9B897B1550C"
"modules\4.8_objectives\model\v4_validate_evaluation_4_8.m","1464","D7B9D70BC050839695C6C0E0466B7C474487A17BCFC232DC0A832A21E9964F7D"
"modules\4.8_objectives\README.md","1169","B73ED4B11313B260CD238410057003F62ED459DE1CBE949ECB367CCB78614E7A"
"modules\4.9_dispatch\docs\4.9调度与求解说明.md","4112","22830DE600F6D26901955B086CC891352B9CF7C151A52FC088A29303A33AFD0A"
"modules\4.9_dispatch\model\test_v4_dispatch_scenarios_4_9.m","2182","7FC4F4E7AAE2223D50D259FE9432F64F1B1F84D9BBA80AD0C35CE69129CA9098"
"modules\4.9_dispatch\model\v4_dispatch_4_9.m","9836","5BD3022D0223BBC119AC17A5A29EEE4B6BA9AD18319BE6D20F3198E1D6114E6C"
"modules\4.9_dispatch\model\v4_reconcile_actuals_4_9.m","1501","7EA7DDB21F23A5638D789C1CACE5E3B699FD1A6B999E35BB1430DCFEF852E752"
"modules\4.9_dispatch\model\v4_redispatch_after_compute_4_9.m","1237","DA143E3DE371FEBB6EACC2A7FEBA73A46E778091D36FB6CDE6106A9E17845B8E"
"modules\4.9_dispatch\model\v4_validate_dispatch_4_9.m","3593","A8ADD55C9BB9DBE10C53642DA8BC60643256DDA2F9206C7F3DFD1AFDFAB68E69"
"modules\4.9_dispatch\README.md","1350","C83F36C7360836CFF53DE01EE8E2D3C517617F86BAE3F1FF3AE3DC09D16037D4"
"modules\README.md","843","2DBFCE3C488E61839D079338EE6855A99F13A371B0AD5B1BD384975C7DDF7767"
"README.md","6132","BA82E3653D4CE1844CE232FF96F49E3774AFA8AAE13F31B2F0194E85C2E2F7DF"
"run_all_tests_v4.m","4724","B10B1D4A58C5F72C0AC58EAA886FD781D506B8A1DA2E890CB1E756C903A6C78F"
"run_v4_integration.m","9275","C6410E3B2B6FD981D7B16B38069946B299A6033B5BAF0B7D27904E244AE98FC2"
"V4第四章整体章节文案.md","9261","F02D2DB1A7BB2D2F19447DF57076F987E1129DC842BA15F575D5775E0EE849C4"
"V4模块纳入与匹配检查报告.md","4004","5C474C3147EBA3F121CEAC820D79D479569165B990789A525008A9236C9BDC49"
"V4模块任务完成度与去重审查.md","8743","5184B0710A5765A28C4640A7FACEEAFE3382E79071CA7AC43BC96E0A7C96454E"
"V4文档代码图像一致性检查报告.md","4421","2F0EE52DED0F457E3F415CF1C1E4625883F8B04F605B991EBB2BDF12DC231A53"
"V4整合说明与验收清单.md","5610","28A13AA8ECABBDE304C99337F72115C4C11F09659D3060BB199A00BB007B36DB"
