-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 06/01/2025 through 06/07/2025 in UTC
Location: Latitude  21.5   Longitude 114.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WS10M,T2M,ALLSKY_SFC_SW_DWN
2025,6,6,2,2.9,2.76,27.71,614.72
2025,6,6,3,3.01,2.86,27.64,686.4
2025,6,6,4,2.84,2.71,27.5,702.33
2025,6,6,5,2.42,2.33,27.36,744.4
2025,6,6,6,1.97,1.91,27.22,620.78
2025,6,6,7,1.76,1.72,27.1,523.65
2025,6,6,8,1.92,1.87,27.03,349.42
2025,6,6,9,2.19,2.11,27.18,186.65
2025,6,6,10,2.49,2.38,27.47,44.05
2025,6,6,11,2.87,2.7,27.72,0.0
2025,6,6,12,3.21,3.01,27.94,0.0
2025,6,6,13,3.51,3.23,28.12,0.0
2025,6,6,14,3.79,3.45,28.23,0.0
2025,6,6,15,4.07,3.69,28.25,0.0
2025,6,6,16,4.1,3.74,28.2,0.0
2025,6,6,17,3.87,3.55,28.12,0.0
2025,6,6,18,3.33,3.08,28.06,0.0
2025,6,6,19,2.69,2.51,28.01,0.0
2025,6,6,20,2.14,2.01,27.95,0.0
2025,6,6,21,1.63,1.54,27.91,0.0
2025,6,6,22,1.18,1.11,27.93,87.85
2025,6,6,23,0.85,0.8,27.97,261.88
2025,6,7,0,0.66,0.61,28.02,488.92
2025,6,7,1,0.58,0.54,28.07,691.58
2025,6,7,2,0.65,0.61,28.14,833.62
2025,6,7,3,0.5,0.49,28.13,914.03
2025,6,7,4,0.38,0.38,28.09,951.78
2025,6,7,5,1.1,1.07,28.04,895.85
2025,6,7,6,1.87,1.81,28.01,800.45
2025,6,7,7,2.6,2.48,28.02,655.53
2025,6,7,8,3.32,3.15,28.03,464.85
2025,6,7,9,3.82,3.57,28.12,250.85
2025,6,7,10,4.05,3.75,28.27,52.45
2025,6,7,11,4.15,3.84,28.37,0.0
2025,6,7,12,4.29,3.93,28.45,0.0
2025,6,7,13,4.41,4.0,28.51,0.0
2025,6,7,14,4.45,4.01,28.56,0.0
2025,6,7,15,4.38,3.96,28.52,0.0
2025,6,7,16,4.34,3.94,28.45,0.0
2025,6,7,17,4.31,3.93,28.37,0.0
2025,6,7,18,4.28,3.91,28.33,0.0
2025,6,7,19,4.17,3.82,28.29,0.0
2025,6,7,20,3.87,3.56,28.28,0.0
2025,6,7,21,3.48,3.21,28.29,0.0
2025,6,7,22,3.04,2.81,28.29,97.12
2025,6,7,23,2.64,2.45,28.33,283.75
