"RelativePath","Bytes","SHA256"
"library\4.2变量与接口\MATLAB校验报告.md","1169","C34FB17E7EEB5788FA2E063132800C41130264705581CFFFF5290B4F73A80F9E"
"library\4.2变量与接口\run_all_tests_4_2.m","4686","B07F80AAA3D11797E846655E54B7300DEB9B198C8374FF1785EA4084CF8950F7"
"library\4.2变量与接口\validate_common_schema_4_2.m","13488","98204A9FE939A50C36896AB565D9C5158EDF069F2413E352329134580706DCBC"
"library\4.2变量与接口\validate_module_packet_4_2.m","8016","7F01121A77D8BB0EFC809F6065F9D5317A6F77B8652741FCDE9D6C8A20B34DB7"
"modules\4.3_source\demos\demo_portfolio_comparison_4_3_v3.m","1675","5EA2E720978B655BA134907ED788C3D16A2C7AFF3491007563A38219055242A9"
"modules\4.3_source\demos\demo_public_baseline_v2.m","11543","588D4119184B17FD62CEA1130D4A90E72C6E407BB42123EFD0425812F5E3E84F"
"modules\4.3_source\demos\demo_public_resource_audit_4_3.m","1519","11067A4C89441F672EF7BF0D19C1A25DFDA38DAEA92B62A25AF06132D8A01BFF"
"modules\4.3_source\demos\demo_version3_4_3.m","468","FF1D284EA689FA14D3BD1603F72CD34C87D474D98393D0A52C7766749A6BD360"
"modules\4.3_source\docs\4.3多能源供给模型完整报告_V3.md","21823","3AE0CA874E3F48F84056C6EBE3486E59B92909C23309E257546D93FFA7F035C9"
"modules\4.3_source\docs\4.3公开数据替代与证据清单.md","7298","038FBA6DE191C7942A364E3F58BF068B1EF6585F7572033C3371A01385A2EAB6"
"modules\4.3_source\docs\assets\figure_4_3_boundary_interface.png","88169","6596FBE370F401A4D0CC07211591E234AD139043454C394923DD9A79CE6215C2"
"modules\4.3_source\docs\assets\figure_4_3_device_to_poi.png","145925","2991B04DCEDB7B9D5B48D286A632BACCE2C55475E75348C5D3D9DBE4F24DF4EE"
"modules\4.3_source\docs\assets\figure_4_3_multiscale_metrics.png","127950","D3A52F0BF9CD1D25EA90594EDEBE86D2264EFE47559610F180208E5DDAB0D85C"
"modules\4.3_source\docs\assets\figure_4_3_scenario_fan_coverage.png","183687","A1418459F0CFC3A7CDB51EB83428D2142D20E730323318E599B0AE41C9ED7E1F"
"modules\4.3_source\docs\assets\figure_4_3_state_constraint.png","88745","7B6BD3F1EEA104D62A0444196A83D8A8BDCB9CC8321A88403AA4E3591E4B77F4"
"modules\4.3_source\docs\assets\figure_4_3_typical_extreme_output.png","240221","834A084D08927F3F8339D40C379BD66F5DFBBE483FDACF55451AC76CCFBB4399"
"modules\4.3_source\docs\V4代码取舍与来源说明.md","1310","4E13133519D880C11130FEB44B25D1E53CAECB8599A4FCE8971FA9F8102090EA"
"modules\4.3_source\docs\Version3修改与验收说明.md","2237","B7530730A0CEBA6AD9ADC3581433E019A4C7A38C596B8D9DF8748328FD2CAD0D"
"modules\4.3_source\docs\参数可识别性清单.md","6402","5518A0C7FB6D30D9BEB25B0B9781BF0CF212BAB6C12864574EA500A8633205DC"
"modules\4.3_source\docs\多能源互补体系_v2.3_4.3.md","13199","F11A93222940F28C2CDC69B22145441852E65FCC8E04B0AAD04C812E0F575B65"
"modules\4.3_source\docs\海洋能源岛源侧模型_v2.md","22038","D5D2427F3E51FE6F6FABFD9E56524D50BFF196B8F48DFC21B648BA82E8DD7B03"
"modules\4.3_source\integration\build_all_channel_source_scenario_4_3.m","3395","231A6A29F136F85916AEFA942658B666B3A25FBAA0F7EE2BE7943FBC2698D41E"
"modules\4.3_source\integration\load_public_reference_resource_4_3.m","4063","6B06C89468CBB59771D47814C34346E28A9CA5B621DA002FC794B98F5116317E"
"modules\4.3_source\integration\v4_source_adapter.m","2778","DCDAB3B074E8B440FFF55A48BA0145DB03E5059DB7D7FBD85D71ADF39B1BCA84"
"modules\4.3_source\model\aggregation\compare_source_portfolios_4_3_v3.m","1283","763EA2343BCA7AFA10159781AEB2414E078346C39885DAC582792F47F96F3AB9"
"modules\4.3_source\model\aggregation\device_output_to_source_4_3_v3.m","4671","4C884F0F6A430DE68AA0E76FF4043F6D7DD99A5C211ADC64BC6B0006D76F93E3"
"modules\4.3_source\model\aggregation\evaluate_scenario_coverage_4_3_v3.m","1323","40C3FB0328376CEA08B80084DBAB67ADA904F10A202DBFA8DEB63D9BF2780995"
"modules\4.3_source\model\aggregation\source_aggregation_4_3_v3.m","10657","FD9DB3183C704960FE860A52D8702EA697ECC47BFEB9079499014FEA892449D2"
"modules\4.3_source\model\aggregation\source_complementarity_metrics_v3.m","2914","CB925981A829B5274B07E64854DE5C897B67DC71F5CD66AA8E5F3FBD6F061541"
"modules\4.3_source\model\aggregation\source_state_dictionary_4_3_v3.m","962","05D3DF4865711236B2098A10AE5CE92C7C5C910EDB128E4676EA35D70DDDAD0F"
"modules\4.3_source\model\aggregation\validate_joint_scenarios_4_3_v3.m","1821","3CCC2118C54540A92DE6803E500605080BCD2398499EA26D8EF6934B1F45EB69"
"modules\4.3_source\model\demo_support\bus_balance_4_4_v3.m","3189","025BE7CF6DD1D86C00557D5063CC92D96FE12C47D7D3253E790E994581A4D292"
"modules\4.3_source\model\demo_support\marine_source_hub_v3.m","1353","1C605BF21EF11662F0FAA45B38C7C46FDDE374C12D368360B1ADA55763319BE0"
"modules\4.3_source\model\pv\floating_pv_dispatch_v2.m","14858","4DC074F6A6C4CFB6DF6904EA99EC45045C7F8BC8B435AABD577A074193EA5D5C"
"modules\4.3_source\model\tidal\tidal_current_dispatch_v2.m","14997","F72FFBB6D738DA4F811A0172171664E2C56DF5D4D0AF948D1CF3F3F69D9088AC"
"modules\4.3_source\model\wind\floating_wind_dispatch_v2.m","12534","7CA61ADD6AD898DD116FDF6DE9D8298D44DB5F15CBA82E70F6146D59FC97F327"
"modules\4.3_source\README.md","2882","A3E13C506EADAEA079E3144CB968BAD56DC0990D04B8CF0C597B93607C9FAA75"
"modules\4.3_source\tests\run_all_tests_4_3_v3.m","3744","EDF957C66DE083E48F8084AC1FB7DF266D3BA906C501B7C57403D7AA115A302A"
"modules\4.4_bus\docs\4.4公共母线功率平衡说明.md","2263","9A2A526886C09FFB795DC6128C64A2AA604B07C60CAA9C6B4DE1A7E4EE1B22C4"
"modules\4.4_bus\docs\assets\figure_4_4_v4_hourly_balance.png","94331","9A5DA4557224EB43436DB7BA37A074D809FB3996318330F8AFB6871C82E63A4B"
"modules\4.4_bus\docs\build_current_report.py","8542","94EC35B3ED3C5334EE61B4B4E723314F13BE20E3A2BC8AB16A4FEDA9F4F26F11"
"modules\4.4_bus\integration\v4_bus_ledger.m","1489","5F7F6E2B2BF3B576E8DAC7B4CB47FD3AFA7DDD4E35004FB02CDB190F73850671"
"modules\4.4_bus\README.md","1209","B7CA93E6640B5160FDDEA3D613490C18BB0D76A8703AF68C4CB24B0DD40C1E52"
"modules\4.4_bus\reference_model\core\__init__.py","664","0291B8CAD751324766BA736D06A8473ABE4D3B746052D231B06B87BAE913C03C"
"modules\4.4_bus\reference_model\core\components.py","14400","15C15EBF7DD9838E5D281F3B45A8D3C40C93264B91F0952D5AE9D8888407C3E3"
"modules\4.4_bus\reference_model\core\losses.py","2926","6E1FF5EEDEF081589A49CCF583BF4FCE9CCC778385DC6DFECE22AB58CCA23EB0"
"modules\4.4_bus\reference_model\core\ports.py","3933","56409970EB3B1A15FF62F62354C74E3F12C50F97C40B3FE52F0E9BD3BA036DEC"
"modules\4.4_bus\reference_model\core\power_balance.py","8928","367C607290E8E2D2BD23DABACC32A0A8CA3FF9058EC540BD5D5403C96E815C41"
"modules\4.4_bus\reference_model\core\reserve.py","2341","F881682622C00580B88403D38EA8ED087658381999A89CA2D282B32643E3DD6C"
"modules\4.4_bus\reference_model\main.py","2523","EFFE34CD209B8FF8DCC76D70F0B16119C267EDFBDB1ECF4A1C3F5E942E291970"
"modules\4.4_bus\reference_model\scenarios\__init__.py","204","E17A81BE7FD2C5C37B10FC7B0F8857E574EE430FABB9E7CB35FAC5BDAEF79F5B"
"modules\4.4_bus\reference_model\scenarios\base_scenarios.py","2165","496279A4C814973A216C2732E35C4F2051590F0B858188F9AE08A7092B935635"
"modules\4.4_bus\reference_model\test_plots.py","2805","374094B102DEFBD53795E75A248AEEE4D2CF107613285A2F056D4A9C47B20E7B"
"modules\4.4_bus\reference_model\visualization\__init__.py","165","F51E631F1D5266D0614D931456AF49077B5C7A2168C15E94C4DB863A632280D0"
"modules\4.4_bus\reference_model\visualization\plots.py","5606","5907BF16C4CB7EE12616972E5F452D345E621598CA4B7E638A989D6B799517D0"
"modules\4.4_bus\报告.pdf","287880","8FAB78AF964FDF00DD65399D1A566E1ECCF1A92130BFFC5140EE8A22CA2652E7"
"modules\4.5_storage_hydrogen\docs\4.5多时标接口语义增补_V4.md","4506","68AD408E61DCD1CD876F9D3A4F9226794BECF38D6E04A4208B26300379A49739"
"modules\4.5_storage_hydrogen\docs\4.5公开数据替代与接口审查.md","12051","BDE3A2B7A28E936168BB32DB662EB16F6DD1F9ED08D5496A3D6DB6BA2407C1FE"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_24h_results.csv","4278","C5388A0BFE18BFE05DCAF5E9CFD59E2336EB0C503665EDB7FBDC4B0FB1EFE999"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_scenario_kpi.csv","589","9CADA76D5FCB004A443FAB8DEE789003CFEE313B7094E18E221D8B938FA1FB1D"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_sensitivity_table.csv","2814","43C25BBB33902AFB7F886E01B91158C00925BF0BAAC33C80D7C4741753BC53DF"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_summary_table.csv","773","C606E1409D1DC3A31B24C5DBBCED73D1AD50B38E709BB90D9CED799DBECE15EB"
"modules\4.5_storage_hydrogen\docs\assets\blue_hub_timeseries_input_template.csv","689","96013D44072C89425081F3041F0ADF930345859425E833126254D48D9E6C625E"
"modules\4.5_storage_hydrogen\docs\assets\fig01_system_coupling.png","161432","580FE86A38A3E9AF2D1F8941A86515E0FDC39DA396D0B861DBCB274754D3BC7F"
"modules\4.5_storage_hydrogen\docs\assets\fig02_electrolyzer_envelope.png","322087","D72BFFD22AEE3DA111394CFA554EFD91C25DF89212508B47BDF5E9045DD4BC2C"
"modules\4.5_storage_hydrogen\docs\assets\fig03_24h_power_dispatch.png","202972","18935202F2EC91DAACAAAE5141C675B45F73E33FDBCDC161DE491C715D4026BF"
"modules\4.5_storage_hydrogen\docs\assets\fig04_hydrogen_inventory.png","305135","9D7F2A054802AAACF1555F0B98E92EFCA13269B5BEB3FACBEBC0EDC7FF2EB272"
"modules\4.5_storage_hydrogen\docs\assets\fig05_scenario_comparison.png","304692","90ED5772592BDE0B54E6C55F611996AF42DD85E1135082D5624B8A6F8A88821C"
"modules\4.5_storage_hydrogen\docs\assets\fig06_economic_heatmap.png","416636","38A5C0CB3395891313782C2C50C7AC104D451802E7199152B3FB173874A00A70"
"modules\4.5_storage_hydrogen\docs\assets\fig07_multiscale_validation.png","249272","3BFDED6F9A7C1187FE99F66992290A330FE35D25179BA71F4C06DE226E0A615A"
"modules\4.5_storage_hydrogen\docs\assets\fig08_operational_72h.png","119152","DF925EA22BA5FD725EF7470C954961C232ECD05A14A611E832E8562FD779CEAA"
"modules\4.5_storage_hydrogen\docs\assets\fig09_gfm_step_seconds.png","131173","F912B49CC44BF9D6FAA0E80148949D55C98769EF05B4A4ACEDE34BE3805B1075"
"modules\4.5_storage_hydrogen\docs\assets\fig10_black_start_seconds.png","152383","5D57CA8138104EAF08826DA995C78FD4C70612FAFEC4DDAE2EB2DB3884CE9906"
"modules\4.5_storage_hydrogen\docs\assets\fig11_seasonal_8760h.png","150364","6A968C023BDD0726B53EDF02F673815358D007CA5109E3E075852244A697E943"
"modules\4.5_storage_hydrogen\docs\电能制氢建模.md","39193","414A02F87E688EBA9CE0D732DE2219DB4253B949D6C293389E751B4776B8753B"
"modules\4.5_storage_hydrogen\integration\v4_apply_4_5_parameter_overlay.m","2237","5170BF2F95BCE96D1DFD35E77A00312C6D1BD3E05F16159D8E941D91DB67BB51"
"modules\4.5_storage_hydrogen\integration\v4_finalize_4_5_packet.m","3151","62CD3DDFC425EEE22A58D0D8ADA545551257E154149ADCA7E61DB2E523D85BBE"
"modules\4.5_storage_hydrogen\integration\v4_storage_hydrogen_boundary_4_5.m","6369","265FC3B4589BD686BFB51619DBAA1645F4954E6E9F2FC1669345834A1A79B97D"
"modules\4.5_storage_hydrogen\integration\v4_storage_hydrogen_response.m","2548","1CD8843241C03E2937FB8F3DDCAF9FF27067AF961A475B3B1E7C4614FDA8376E"
"modules\4.5_storage_hydrogen\model\v4_gfm_parameters_4_5.m","1790","97861CEDBFC34DF6F415A6A742703816120FDFDBCB212E73E59900088CDEBCE5"
"modules\4.5_storage_hydrogen\model\v4_gfm_regfm_b1_dynamic_4_5.m","15164","C7A56AEB74A417421727204BFC0334221252EA618BF247D3F60392BCFA135E53"
"modules\4.5_storage_hydrogen\model\v4_seasonal_hydrogen_storage_4_5.m","4719","390526E7FF100594E71AA85FEB1710C803B7207FE9514C33EDBBB38BEC080744"
"modules\4.5_storage_hydrogen\model\v4_storage_hydrogen_core_4_5.m","13758","BF946C389FAC454516BEBB647EB50D46846DC98B5E589B51333563DCBEB2B83B"
"modules\4.5_storage_hydrogen\README.md","5815","7051712B45ADA9C74A395042EE22F21B279C127E399A7474F964F58480E462F0"
"modules\4.5_storage_hydrogen\reference_model\blue_hub_demo_and_figures.m","25812","26A83174D229390BB3C05CE2EB2CD39541C3B99188C6D835BBAFEFA9EE9CD520"
"modules\4.5_storage_hydrogen\reference_model\电能制氢建模 修改版1.docx","1284521","841E5A2DAC83DCD0D04E9338F83D453E05398A155D31A6E7C886E3F46D0F8682"
"modules\4.5_storage_hydrogen\reference_model\电能制氢模型多表合一.xlsx","40387","242873A436540B4AA495DA4051A6830818C3B311B5786C0E4AB0FDA295F609C8"
"modules\4.5_storage_hydrogen\run_4_5_standalone_validation.m","24800","EDE233E49A4A999E3CF89AC64148A5685BB93D3D23CA3A74A2F22836903AF8F0"
"modules\4.5_storage_hydrogen\tests\run_all_tests_4_5.m","305","9D9DB028EC5F5B936D84883D90C3B00E5ADE5CC968DDDAD14E1DD2F4E64AA229"
"modules\4.6_compute\DC_model_v2_1\config\default.json","1034","ECD31A903639281E0FB8067F2D1102EFAAD780F380898E0A55516E636B8496DC"
"modules\4.6_compute\DC_model_v2_1\config\power_shortage_test.json","1045","806975681A5026742EA45FAAF90C7207A9D1CF520FE3FFBACEB1D098A795146B"
"modules\4.6_compute\DC_model_v2_1\config\raw_power_following.json","826","D1C4AA33EC9E73DD3C5BD50144DB793C6DA074ACC5ED19EA84EBE185577F29D1"
"modules\4.6_compute\DC_model_v2_1\CURRENT_UDC_DATA_CHECK.md","1547","992AC5CF3D660842FBF2A1BCE49D1A39A1FA4AB4A8B8EBF246602572BD493E9A"
"modules\4.6_compute\DC_model_v2_1\DATA_UPDATE_GUIDE.md","3476","C9E1976D5E42AA22B43085E04266468E4159C30B68549F6F1BCE7C3E0E30C1CF"
"modules\4.6_compute\DC_model_v2_1\README.md","1089","DF81479332F9394117D367AF0D06A48D7C364A6F85EAF5A3504FA3DC21A9A5D3"
"modules\4.6_compute\DC_model_v2_1\requirements.txt","67","425E872219B0C44920CB83C855C206241A5D373FA4C753B88B450CE081679232"
"modules\4.6_compute\DC_model_v2_1\run_model.bat","361","3034E906D1D2FF62A575F4C0EA0914772DF16A4876F23FF09E0F3C6860B716C8"
"modules\4.6_compute\DC_model_v2_1\run_raw_model.bat","365","6FB3AEA9FE2AE1E7122A9A99A45A3AA0FFBDAC4EAD605645034720DBF26C5F1C"
"modules\4.6_compute\DC_model_v2_1\scripts\check_data.py","1072","09B5936F42381FFACEAF4EB5763376FFD548ADBA9A680BD7B9915E125ABF7648"
"modules\4.6_compute\DC_model_v2_1\scripts\plot_results.py","12576","10B47BD88DB4F192140FCC9E4410F0D4B733883AE09218CBDC8DC4243ADB6A7F"
"modules\4.6_compute\DC_model_v2_1\scripts\run_model.py","1638","B606A3C9F9CAA06C0F3D439A9329A91C3E6C60EA41A7FEEF68012113BEEE8742"
"modules\4.6_compute\DC_model_v2_1\scripts\run_raw_model.py","1644","01A65AF1EE5DC16BB37D48309A89251E22219900A9F68785CB623FC416022FC8"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\__init__.py","79","19F7BA1E22F29BE4BCE74FF1C0401B3885748215396C38A1A10676875AF5D045"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\config.py","1478","2655C39B6B7CD2287FC1C9A0A7BBD5013500B0EAA308A73053EE3C5F22BE9844"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\data_loader.py","19656","AC3598FB57AFFFDEFB8CEC51B54BFDEB0901F3E7CFF08DCA26CA8F4AC69D13D0"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\model.py","23054","25A275DCCE571AA53CF25C7B6ED12312E443078EA57F524600A94A3BCBF01C50"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\pue.py","3288","B484C29C6D2C94682A9CAF57ADDE733D4CD8DEB86FC3C39D8776BA52908284FC"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\raw_model.py","15031","F445505FEB95DDF2744DE771AD21522CEACFF22792888936AFA3FBFC60C1BDE3"
"modules\4.6_compute\DC_model_v2_1\src\udc_dc_only\reporting.py","2832","7CD8A8DDF9E2703C0C6C3E643FC2FF032C20EAF55EF808AA96F6B01506DDA0E7"
"modules\4.6_compute\DC_model_v2_1\tests\test_smoke.py","870","7B064910B6CE535827ADDB578D3DDCB1B5E11B5FBC8F5BEDB3A4E31DFD072CC5"
"modules\4.6_compute\DC_model_v2_1\UDC_data\01_Workload\green_compute_v1_168h.csv","19653","A7C4CC5CCC17470BD105A381D37BE5736C4AA7CE7F22946836D7E44B385D87D9"
"modules\4.6_compute\DC_model_v2_1\UDC_data\01_Workload\task_type_parameters.csv","184","F5DC588B109EACEF2A1AA76388AAB759C8304EC3F96D0135F3C43016692C385D"
"modules\4.6_compute\DC_model_v2_1\UDC_data\02_IT_System\it_system_parameters.csv","1019","0639201603F593EAA07E5AB0F8375D60A9441792988EBE0DBB20E65FA0B43EE8"
"modules\4.6_compute\DC_model_v2_1\UDC_data\03_Cooling_PUE\cmems_mod_glo_phy_my_0.083deg_P1D-m_1784401380657.nc","60449","6CEFDD2861FB68DAF5BB703C01D6D972D36C36A4C68AD4A4336ED0D534E0C974"
"modules\4.6_compute\DC_model_v2_1\UDC_data\03_Cooling_PUE\cooling_parameters.csv","1646","BF0C9962F6A9D448EABD08AABA18D3DA09AB4BDD5357283EA03F23F86E5D7B4C"
"modules\4.6_compute\DC_model_v2_1\UDC_data\04_Economics_Interface\compute_price.csv","820","29A6A3807261874EADD19C0F906F40C948895330B777D3C76822D9087E48A81F"
"modules\4.6_compute\DC_model_v2_1\UDC_data\04_Economics_Interface\market_reference_scenarios.csv","1067","4ACAF7DF2B804A507E6EC6F12482AE449C799288DA506FFE1553237BF0B353D3"
"modules\4.6_compute\DC_model_v2_1\UDC_data\04_Economics_Interface\power_interface.csv","754","885D192D04C8CC722E73C673A3DF773871FCFA6B23677FE20328EE683426E5DE"
"modules\4.6_compute\docs\4.6公开数据替代与市场校准清单.md","5613","82B1F21D706C3D536A3928387BD52EB0E21ACCC6D4DDCDF6E5EBCE5B461C6E3D"
"modules\4.6_compute\docs\4.6绿色算力负荷模型与V4集成说明.md","5401","E7CBD6331E1E04D8BA16FCA90177E7D28C3A18BCF77C33E640D6E9B926A82478"
"modules\4.6_compute\integration\README.md","791","6CBD800B41721628ADA77DF0986B992697677EE4B1D7E29B195C65C90A974766"
"modules\4.6_compute\integration\v4_compute_boundary_4_6.m","1148","3E153D0F67A2FEEECABFD43801612F9CA7DC7F8AE08ABD187830D28ECB969F38"
"modules\4.6_compute\integration\v4_compute_bridge.py","5654","33D2412D3450B0F5AA388AC11E471436A19BA3976E0534055FAA22A836B3B57B"
"modules\4.6_compute\README.md","2125","B95544EBC28345BF28A7F55EA65B662F8C2B2D44C644C88DAE8E64DE59DEECAD"
"modules\4.7_outputs\delivery_model\configs\parameters.yaml","4389","EFF72EB447EE7F9C6A27275A9AA6C426DF1DA8DEC91794D2BDAA4F8C1AA3EBDE"
"modules\4.7_outputs\delivery_model\examples\run_example.py","1765","DACF04757C08D6DD6B27C53EC2DA4C68C0AC95B7320D66353811C9578AB7B828"
"modules\4.7_outputs\delivery_model\pyproject.toml","479","2ADE356122C3EEA684A9594D008A0CA9D058B35FA25B97323CC8F61FBEDB2EAD"
"modules\4.7_outputs\delivery_model\README.md","4148","A7E4E39F1F32BA068975C38A4CA6B862C31D55F03692906F6E491956B47265FB"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\__init__.py","1531","2E672AF66020B78F446F0A6EDE391F1745788E90FDE2A2050942F7E67AF4D118"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\balance.py","5935","655BCCC76625A6CA278EC66E0A5D3B7C6AB98F1098F85612B92B7432C4538C26"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\compute_load.py","3824","84F21CB3098F6C0997FA011A609318057D8B52A7B48A2B272157AD5A549B2B91"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\constraints.py","4811","B9D9BF4D13956C8F48E89ED05D366B70F4E3C2F179AE04081186CBCE50C9EA35"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\hydrogen_output.py","6465","46F52FE352D3C820A19229AC9D5F61067985112F01F15193D08BD87226DE3EB0"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\marine_load.py","3018","20A3CE235DD069ACE23E11396D279C2021EB755A6E2B8470783D46D0F8FAD66D"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\objectives.py","3022","5DEF181C53527CF147F781EDF865C308BBA72DD590C7C1BB24A971D3137D609B"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\parameters.py","4581","CA1D75F28AF5309384838CDA1079D31FF726B4D98B810E9B781B22C887A80286"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\power_export.py","4007","BCCC111556311094E90338457EF98906E3A21BC00B75C3F7045847D60C9939A0"
"modules\4.7_outputs\delivery_model\src\bluehub_submodules\scenario.py","3248","E5931033522AC85A2E4990D175DB059C04DC16256383FDC87C7F2B4A57CF073A"
"modules\4.7_outputs\delivery_model\tests\test_compute_load.py","1685","A05592A5F97CA9F3A06DA4A28C6E50276E599F48B8579BF760CE6E2A6C3FE5CC"
"modules\4.7_outputs\delivery_model\tests\test_constraints.py","898","340A3C31181FECFC238E901C5A673734293A6B65066CB4340887939CB5EBDFC3"
"modules\4.7_outputs\delivery_model\tests\test_hydrogen_output.py","1859","273120646B10A001E40ECAEBEC051B0B882DCA41825AC9A608BF27041B4E8881"
"modules\4.7_outputs\delivery_model\tests\test_integrated_balance.py","2681","3F5B3F27703BE106A48F8572FE04C0C094E2420F6D7CB0919B1701F9C86DA52D"
"modules\4.7_outputs\delivery_model\tests\test_marine_load.py","1044","6949EBB4080DFD6919EB98682D2F7C7CB472A6A712ECB0C669B54D25E673F8F9"
"modules\4.7_outputs\delivery_model\tests\test_parameters.py","1977","CD78DB5F0069BF2D492788B32A3111B2065DA9C88988F5ADB72B98415E5B4070"
"modules\4.7_outputs\delivery_model\tests\test_power_export.py","1114","2FBC2DD61CD40DE771F2CD74A97114D64995F7DB20222C49CDE95E576F5DAD36"
"modules\4.7_outputs\delivery_model\uv.lock","15872","5A95C6DA871E400E6F428A8C32C41B849923BB98655717D78419D041F164EB47"
"modules\4.7_outputs\delivery_model\目标函数与约束条件.md","4174","12310B3E4D88BFCB69D5DBFAE7C5EE56C5A746ACD964C7C3A2274B9BDAA40998"
"modules\4.7_outputs\docs\工程使用说明.md","4204","BF763F97673F1B88A995EF9802B3ED5F493949E85154CD39A3C8E53A458CDBB4"
"modules\4.7_outputs\integration\v4_output_bridge.py","3242","F43A972C8D639581526F0CEC5B4712A1203CCC6C1C0559834CBE69D0702AB695"
"modules\4.7_outputs\README.md","1602","90A56D3B3379CF4C453E5B5FED348E3310BAB72691B6645996646285D522FDA8"
"modules\4.8_objectives\docs\08_4.8-4.9目标架构.md","16848","BF4EFA6A67FF65815430F4DE77C0E6F99B487C4F998B18E8CD0BB1A8BE0BA7FF"
"modules\4.8_objectives\docs\4.8多目标评价说明.md","9072","9C55DABB28C9D941ED9793B9947F7031902033919450EC769A9EB966B9D347E0"
"modules\4.8_objectives\model\v4_evaluate_objectives_4_8.m","11559","ED421F9F7752505F338FB7B9D525FEB175F1E86D36D7A62CE83350D8942A3423"
